Naam,Wetenschappelijke naam,Hoogte,Breedte,Number/ha,Voedselboslaag,Zon,Natte grond,Bloei,Oogst,paal_band,diameter,prijs,kweker,
Rode Beuk,Fagus sylvatica 'Atropunicea',30 - 40,25,2,High canopy layer,"Zon, Half-schaduw",Slecht,"5,6",10,,,90,sjef van dongen,marktplaats
Ginkgo,Ginkgo Biloba Tremonia,10,5,5,High canopy layer,"Zon, Half-schaduw",Goed,6,9 - 12,,,,,
Pecan,Carya illinoinensis + aquatica,30,15,5,High canopy layer,Zon,Goed,"5, 6","10, 11",,,,,
Zwarte Els,Alnus glutinosa,20,10,2,High canopy layer,"Zon, Half-schaduw",Goed,"2,3",n.v.t,,,,,
Zachtharige Berk,Betula Pubescens,30,4,,Wijker,Zon,Goed,4,n.v.t.,,,,,
Koningsnoot,Carya laciniosa,20,10,5,High canopy layer,Zon,Goed,5,"10,11",,,,,
Tamme  kastanie,Castanea sativa,20,10 - 15,2,High canopy layer,"Zon, Half-schaduw",Slecht,"6,7","10,11",,,,,
Walnoot,Juglan reglia,30,15,5,High canopy layer,"Zon, Half-schaduw",Slecht,"5,6","10,11",,,,,
Hazelaar,Corylus avellana Corabel,5,5,40,High shrub layer,Half-schaduw,Goed,"1,2",9,,,,,
Pimpernoot,Staphylea pinnata,4,4,20,High shrub layer,"Zon, Half-schaduw",Goed,5,"9,10",,,,,
Olijf wilg,Elaeagnus umbellata,4,2,20,High shrub layer,Zon,Goed,5,9,,,,,
Zure kriek,Prunus cerasus,6,4,2,High shrub layer,Zon,Goed,"4,5",6,,,,,
Franse uiensoepboom,Toona sinensis,20,8,2,High canopy layer,Zon,Goed,7,n.v.t.,,,,,
Amandel,Prunus dulcis,5,3,6,Low canopy layer,Zon,Slecht,"3,4",8,,,,,
Vlierbes,Sambucus nigra,5,5,20,Low canopy layer,Zon,Goed,"5,6","8,9",,,,,
Krentenboompje,Amelanchier lamarckii ,5,3,20,Low canopy layer,"Zon, Half-schaduw",Goed,"3,4",7,,,,,
Meidoorn,Crataegus monogyna,5,3,50,Low canopy layer,"Zon, Half-schaduw",Goed,"4,5",10,,,,,
Gele kornoelje,Cornus mas,5,4,30,Low canopy layer,Half-schaduw,Goed,"2,3",8,,,,,
Appelbes ,Aronia prunifolia,2 - 4,2,80,Low canopy layer,"Zon, Half-schaduw",Goed,"5,6","8,9",,,,,
Honingbes,Lonicera caerulea,2,1,100,Low shrub layer,Zon,Goed,"3,4","5,6",,,,,
Aalbes,Ribes rubrum ,1 - 2,1,200,Low shrub layer,Half-schaduw,Goed,"4,5","6,7",,,,,
Jostabes,Ribes uva-crispa x nigrum,1 - 2,2,100,Low shrub layer,Half-schaduw,Goed,"5,6",7,,,,,
Kruisbes,Ribes uva-crispa,1 - 2,0.75,200,Low shrub layer,Half-schaduw,Goed,4,6,,,,,
Zwarte bes,Ribes nigrum,1 - 2,2,100,Low shrub layer,Half-schaduw,Goed,5,7,,,,,
,,,,,,,,,,,,,,
knotwilg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
hazelaar ,vruchtselecties,"8,5",,,,,,,,,,,,
,gewoon,"2,-",,,,,,,,,,,,